Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,10u,C_0402_1005Metric,191.500000,-114.500000,180.000000,top
C2,10u,C_0402_1005Metric,189.000000,-114.500000,180.000000,top
C3,100n,C_0402_1005Metric,177.050000,-105.500000,90.000000,top
C4,100n,C_0402_1005Metric,182.150000,-122.500000,-90.000000,top
C5,100n,C_0402_1005Metric,178.050000,-105.500000,90.000000,top
C6,100n,C_0402_1005Metric,183.150000,-105.500000,90.000000,top
C7,100n,C_0402_1005Metric,184.150000,-105.500000,90.000000,top
C8,100n,C_0402_1005Metric,186.250000,-114.500000,0.000000,top
C9,100n,C_0402_1005Metric,181.050000,-122.500000,-90.000000,top
C10,100n,C_0402_1005Metric,171.850000,-114.600000,180.000000,top
C11,100n,C_0402_1005Metric,171.850000,-111.000000,180.000000,top
C12,2.2uF,C_0402_1005Metric,181.150000,-105.500000,90.000000,top
C13,2.2uF,C_0402_1005Metric,182.150000,-105.500000,90.000000,top
C14,100n,C_0402_1005Metric,175.050000,-101.600000,180.000000,top
C15,2.2uF,C_0402_1005Metric,175.050000,-102.600000,180.000000,top
D1,D_Small,D_SOD-123,109.000000,-105.400000,90.000000,top
D2,D_Small,D_SOD-123,128.000000,-105.400000,90.000000,top
D3,D_Small,D_SOD-123,147.000000,-105.400000,90.000000,top
D4,D_Small,D_SOD-123,166.200000,-105.400000,90.000000,top
D5,D_Small,D_SOD-123,109.000000,-124.500000,90.000000,top
D6,D_Small,D_SOD-123,128.100000,-124.500000,90.000000,top
D7,D_Small,D_SOD-123,147.100000,-124.450000,90.000000,top
D8,D_Small,D_SOD-123,166.100000,-124.500000,90.000000,top
F1,Fuse,Fuse_0603_1608Metric,187.250000,-102.500000,-90.000000,top
J1,USB_C_Receptacle,USB_C_Receptacle_HRO_TYPE-C-31-M-12,178.500000,-94.300000,180.000000,top
J2,AudioJack4,PJ-320,197.200000,-98.350000,0.000000,top
R1,1k,R_0402_1005Metric,184.900000,-92.500000,0.000000,top
R2,5.1k,R_0402_1005Metric,181.150000,-103.500000,-90.000000,top
R3,5.1k,R_0402_1005Metric,177.050000,-103.500000,-90.000000,top
R4,27,R_0402_1005Metric,179.050000,-105.500000,90.000000,top
R5,27,R_0402_1005Metric,180.150000,-105.500000,90.000000,top
R6,1k,R_0402_1005Metric,178.500000,-120.750000,180.000000,top
R7,10k,R_0402_1005Metric,170.250000,-101.600000,180.000000,top
R8,1k,R_0402_1005Metric,170.250000,-102.600000,180.000000,top
SD1,Schottky diode,D_SOD-123,190.550000,-102.550000,90.000000,top
STLED1,LED_GREEN,LED_0402_1005Metric,184.900000,-91.300000,180.000000,top
SW9,BOOT,SW_SPST_PTS810,171.500000,-125.600000,90.000000,top
SW10,RESET,SW_SPST_PTS810,185.400000,-125.600000,90.000000,top
U1,NCP1117-3.3_SOT223,SOT-223,188.900000,-109.450000,90.000000,top
U2,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,178.450000,-113.600000,0.000000,top
U3,W25Q128JVSIQ,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,172.650000,-105.900000,0.000000,top
Y1,12MHz,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,178.450000,-122.600000,0.000000,top
